2025-11-14 07:24:13,940 - INFO - [structural-definition] Segment 21 (1-original-properties): total = 3492, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,949 - INFO - [structural-definition] Segment 22 (1-original-properties): total = 2120, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,956 - INFO - [structural-definition] Segment 23 (1-original-properties): total = 1521, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,965 - INFO - [structural-definition] Segment 24 (1-original-properties): total = 1904, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,968 - INFO - [structural-definition] Segment 25 (1-original-properties): total = 156, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,970 - INFO - [structural-definition] Segment 26 (1-original-properties): total = 80, inaccuracies = 0 (0.00%)
2025-11-14 07:24:13,998 - INFO - [structural-definition] Segment 27 (1-original-properties): total = 8562, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,002 - INFO - [structural-definition] Segment 28 (1-original-properties): total = 73, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,011 - INFO - [structural-definition] Segment 29 (1-original-properties): total = 1871, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,014 - INFO - [structural-definition] Segment 30 (1-original-properties): total = 141, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,017 - INFO - [structural-definition] Segment 31 (1-original-properties): total = 42, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,021 - INFO - [structural-definition] Segment 32 (1-original-properties): total = 447, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,024 - INFO - [structural-definition] Segment 33 (1-original-properties): total = 45, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,034 - INFO - [structural-definition] Segment 34 (1-original-properties): total = 2598, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,038 - INFO - [structural-definition] Segment 35 (1-original-properties): total = 275, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,050 - INFO - [structural-definition] Segment 36 (1-original-properties): total = 3140, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,054 - INFO - [structural-definition] Segment 37 (1-original-properties): total = 394, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,057 - INFO - [structural-definition] Segment 38 (1-original-properties): total = 116, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,060 - INFO - [structural-definition] Segment 39 (1-original-properties): total = 114, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,065 - INFO - [structural-definition] Segment 40 (1-original-properties): total = 654, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,068 - INFO - [structural-definition] Segment 41 (1-original-properties): total = 112, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,070 - INFO - [structural-definition] Segment 42 (1-original-properties): total = 59, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,073 - INFO - [structural-definition] Segment 43 (1-original-properties): total = 115, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,076 - INFO - [structural-definition] Segment 44 (1-original-properties): total = 105, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,078 - INFO - [structural-definition] Segment 45 (1-original-properties): total = 57, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,081 - INFO - [structural-definition] Segment 46 (1-original-properties): total = 164, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,084 - INFO - [structural-definition] Segment 47 (1-original-properties): total = 206, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,087 - INFO - [structural-definition] Segment 48 (1-original-properties): total = 240, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,090 - INFO - [structural-definition] Segment 49 (1-original-properties): total = 33, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,096 - INFO - [structural-definition] Segment 50 (1-original-properties): total = 1118, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,102 - INFO - [structural-definition] Segment 51 (1-original-properties): total = 629, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,104 - INFO - [structural-definition] Segment 90 (1-original-properties): total = 49, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,191 - INFO - [structural-definition] Segment combined (1-original-properties): total = 26388, inaccuracies = 0 (0.00%)
2025-11-14 07:24:14,198 - INFO - [no-full-stop] Segment 13 (2-filtered-properties): total = 62, inaccuracies = 62 (100.00%)
2025-11-14 07:24:14,201 - INFO - [no-full-stop] Segment 14 (2-filtered-properties): total = 64, inaccuracies = 64 (100.00%)
2025-11-14 07:24:14,205 - INFO - [no-full-stop] Segment 15 (2-filtered-properties): total = 65, inaccuracies = 64 (98.46%)
2025-11-14 07:24:14,207 - INFO - [no-full-stop] Segment 16 (2-filtered-properties): total = 42, inaccuracies = 42 (100.00%)
2025-11-14 07:24:14,211 - INFO - [no-full-stop] Segment 17 (2-filtered-properties): total = 144, inaccuracies = 143 (99.31%)
